Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR272358,2013-05-15 07:25:15,2013-05-15 07:25:15,715440,365346703,0,510,831,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272358/ERR272358.sra,ERX246634,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,B5B49ECC62D99BA2B3D1A56AE34DEFA5,2834A6CBADEDB8F5B790FED52E25D5A0
ERR272359,2013-05-15 07:25:15,2013-05-15 07:25:15,727670,371475791,0,510,846,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272359/ERR272359.sra,ERX246635,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,18D494C70F37E5B17F84EA3EBE80F5A4,5302CFF42451AF113CC0DA7198D4E45D
ERR272360,2013-05-15 07:25:15,2013-05-15 07:25:15,549494,287738616,0,523,643,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272360/ERR272360.sra,ERX246636,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,3360E98E7F1DB2B4C98CAE87699A9571,326A87385C5EA8927D86EB60EB25345E
ERR272361,2013-05-15 07:25:15,2013-05-15 07:25:15,554533,289205971,0,521,647,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272361/ERR272361.sra,ERX246637,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,0A6F754DC1DE7EF334E883162E74D9F3,3E6D9CA228B70299D3F331E7FB281C43
ERR272362,2013-05-15 07:25:15,2013-05-15 07:25:15,618367,314931371,0,509,716,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272362/ERR272362.sra,ERX246638,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,A1ACB438CFC0B4A469BC2963E65A636A,E4AD8902EEA7E957DC631D79AAD1F249
ERR272363,2013-05-15 07:25:15,2013-05-15 07:25:15,651022,330618369,0,507,753,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272363/ERR272363.sra,ERX246639,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,7468562B72EE75D906E1C84A15142FBE,FA0ADCE866EB462543E89A9CC9CBC505
ERR272364,2013-05-15 07:25:15,2013-05-15 07:25:15,675831,351902061,0,520,789,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272364/ERR272364.sra,ERX246640,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,641A71C3C899F1F34097A3337FCE35C2,9D66907494675CAB8AF4A7736135D3E0
ERR272365,2013-05-15 07:25:15,2013-05-15 07:25:15,650716,339592624,0,521,761,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272365/ERR272365.sra,ERX246641,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,B27D9FDC47A6742615589A0A117DF809,414AEC5433E9BF4F018A7E093A44EF21
ERR272366,2013-05-15 07:25:15,2013-05-15 07:25:15,524414,278010441,0,530,628,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272366/ERR272366.sra,ERX246642,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,01ED50842D7B378E006CC0C90E61B7A2,813173B7D070E22DAC8A12185EADAC35
ERR272367,2013-05-15 07:25:15,2013-05-15 07:25:15,495111,262091890,0,529,591,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272367/ERR272367.sra,ERX246643,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,C0F1316D927270E1F38EC610713F2BEF,987083DAEFAA6179C40380853DBBB743
ERR272368,2013-05-15 07:25:15,2013-05-15 07:25:15,614612,314718641,0,512,708,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272368/ERR272368.sra,ERX246644,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,6B775776A40D09520AD24ADD4AD017C7,83B52643FCC917072C2BB23C5C97B611
